,match_id,p1_ace,p1_winner,p1_double_fault,p1_unf_err,p1_net_pt,p1_server,player1_strength,p1_distance_run_normal,player1_dist,p1_victor
0,2023-wimbledon-1301,0,0,0,1,0,1,0.0,-0.5931180993302414,0.43352601156069365,0
1,2023-wimbledon-1301,0,0,0,0,0,1,0.5,-0.6484845100914135,0.4254474771199481,1
2,2023-wimbledon-1301,0,0,0,1,0,1,0.3333333333333333,-0.014994934755753116,0.41061651987621994,0
3,2023-wimbledon-1301,0,1,0,0,0,1,0.5,2.7502126324166833,0.403253931307648,1
4,2023-wimbledon-1301,1,1,0,0,0,1,0.6,-0.9897254138992269,0.4439124487004104,1
5,2023-wimbledon-1301,0,0,0,0,0,1,0.5,-0.6456680126229737,0.5546121593291405,0
6,2023-wimbledon-1301,1,1,0,0,0,1,0.5714285714285714,-0.5325634037587854,0.27668641935222016,1
7,2023-wimbledon-1301,0,0,0,0,0,1,0.5,0.2594653317082635,0.492071970761878,0
8,2023-wimbledon-1301,0,0,0,0,1,1,0.5555555555555556,1.5184397001008605,0.5837381311037015,1
9,2023-wimbledon-1301,0,0,0,0,0,1,0.6,0.5360750304508263,0.4363774608524105,1
10,2023-wimbledon-1301,0,0,0,0,0,0,0.5454545454545454,-0.6090535455332562,0.5406542056074767,0
11,2023-wimbledon-1301,0,0,0,0,0,0,0.5833333333333334,0.4255645639917799,0.5197430767610824,1
12,2023-wimbledon-1301,0,0,0,0,0,0,0.6153846153846154,0.8902125279299168,0.5827415488698223,1
13,2023-wimbledon-1301,0,0,0,0,0,0,0.5714285714285714,-0.24720773919317263,0.5999775015467687,0
14,2023-wimbledon-1301,0,0,0,0,0,0,0.5333333333333333,-0.7858999392095034,0.6030872959545777,0
15,2023-wimbledon-1301,0,0,0,0,0,0,0.5625,-0.64500094743308,0.5516810658894556,1
16,2023-wimbledon-1301,0,0,0,0,0,0,0.5294117647058824,-0.6490774569268745,0.4881794489947878,0
17,2023-wimbledon-1301,0,0,0,0,0,0,0.5,0.0883260513233285,0.4779791116144457,0
18,2023-wimbledon-1301,1,1,0,0,0,1,0.5263157894736842,-0.9711958252910702,0.45588235294117646,1
19,2023-wimbledon-1301,0,0,0,0,0,1,0.55,0.3028245690513502,0.34229051547952466,1
20,2023-wimbledon-1301,0,0,0,0,0,1,0.5238095238095238,-0.4976536588210182,0.4025185021539821,0
21,2023-wimbledon-1301,0,0,0,0,0,1,0.5454545454545454,2.0874463070801355,0.5613899613899613,1
22,2023-wimbledon-1301,0,0,0,0,0,1,0.5652173913043478,-0.7575126094618074,0.4578138239922528,1
23,2023-wimbledon-1301,0,0,0,1,0,0,0.5416666666666666,-0.10386284172047251,0.4788705631982975,0
24,2023-wimbledon-1301,0,0,0,0,0,0,0.52,0.06838821398095192,0.5164181170201723,0
25,2023-wimbledon-1301,0,0,0,0,0,0,0.5,-0.9708993518733396,0.45837563451776653,0
26,2023-wimbledon-1301,0,0,0,0,0,0,0.48148148148148145,0.44654005829621335,0.7301396332348974,0
27,2023-wimbledon-1301,0,1,0,0,0,1,0.5,0.10003675132368349,0.3433069457489154,1
28,2023-wimbledon-1301,0,0,0,0,0,1,0.5172413793103449,-0.7202310771821961,0.34113525993153415,1
29,2023-wimbledon-1301,0,0,0,0,1,1,0.5333333333333333,-0.15033504994972952,0.48879454627097196,1
30,2023-wimbledon-1301,0,0,0,1,0,1,0.5161290322580645,-0.6220983759133984,0.4460792110704629,0
31,2023-wimbledon-1301,0,0,0,0,0,1,0.5,-0.4064880828688873,0.40069620848621695,0
32,2023-wimbledon-1301,0,0,0,1,0,1,0.48484848484848486,-0.3812137240073617,0.4364469405852793,0
33,2023-wimbledon-1301,0,0,0,0,1,1,0.5,1.2436829602191135,0.5459543826043772,1
34,2023-wimbledon-1301,0,0,0,0,1,1,0.5142857142857142,-0.5320445752777571,0.41614831076960607,1
35,2023-wimbledon-1301,0,0,0,0,0,0,0.5,-0.4590379961616197,0.5610316833105826,0
36,2023-wimbledon-1301,0,0,0,0,0,0,0.5135135135135135,1.1185711779368397,0.49574863257620944,1
37,2023-wimbledon-1301,0,0,0,0,0,0,0.5,-0.5327116404676506,0.567727424191936,0
38,2023-wimbledon-1301,0,0,0,0,0,0,0.48717948717948717,-0.8393392727554272,0.5057601510859301,0
39,2023-wimbledon-1301,0,0,0,0,0,0,0.475,-0.6640493645222653,0.5193614830072091,0
40,2023-wimbledon-1301,0,1,0,0,0,1,0.4878048780487805,1.499465401366108,0.5116275594081602,1
41,2023-wimbledon-1301,0,0,0,0,0,1,0.5,-0.30613183096711083,0.34029644950017235,1
42,2023-wimbledon-1301,0,1,0,0,0,1,0.5116279069767442,-0.5725873151524038,0.3624133949191686,1
43,2023-wimbledon-1301,0,0,0,0,0,1,0.5,0.30193514879815864,0.4919978225367447,0
44,2023-wimbledon-1301,0,0,0,0,0,1,0.5111111111111111,1.3137248051579458,0.556116457204957,1
45,2023-wimbledon-1301,0,0,0,0,0,0,0.5,-0.6020864202165893,0.5478009690644801,0
46,2023-wimbledon-1301,0,0,0,0,0,0,0.5106382978723404,-0.9689722746580913,0.4997310381925767,1
47,2023-wimbledon-1301,0,0,0,0,0,0,0.5,-0.9320613341506433,0.6269771528998244,0
48,2023-wimbledon-1301,0,0,0,0,0,0,0.5102040816326531,0.2842949804431935,0.4913778855159496,1
49,2023-wimbledon-1301,0,1,0,0,0,0,0.52,3.5412778292761082,0.5319665567390237,1
50,2023-wimbledon-1301,0,0,0,0,0,0,0.5294117647058824,1.161782178571061,0.6081601704987909,1
51,2023-wimbledon-1301,0,0,0,0,0,1,0.5384615384615384,-0.7901988037665957,0.41420778576741885,1
52,2023-wimbledon-1301,0,0,0,0,0,1,0.5283018867924528,-0.6281019626224413,0.42353662273980996,0
53,2023-wimbledon-1301,0,0,0,0,0,1,0.5370370370370371,-0.7245299417392885,0.40868220052209225,1
54,2023-wimbledon-1301,0,0,0,0,1,1,0.5272727272727272,-0.17405292336817008,0.49897242678540843,0
55,2023-wimbledon-1301,0,0,0,0,1,1,0.5357142857142857,-0.19732608666001486,0.4960846931186841,1
56,2023-wimbledon-1301,0,0,0,1,1,1,0.5263157894736842,-0.348601648057006,0.5351634438305709,0
57,2023-wimbledon-1301,0,0,0,0,0,1,0.5344827586206896,1.2915634171825903,0.5137056833227087,1
58,2023-wimbledon-1301,0,0,0,0,0,1,0.5254237288135594,0.18616227917439565,0.4789998839772595,0
59,2023-wimbledon-1301,0,0,0,0,0,1,0.5166666666666667,0.5840296057687359,0.4831210120769213,0
60,2023-wimbledon-1301,0,1,0,0,0,1,0.5245901639344263,0.34855559373628064,0.3982837918405587,1
61,2023-wimbledon-1301,0,0,0,0,0,1,0.532258064516129,-0.8815126164275919,0.401790817298533,1
62,2023-wimbledon-1301,0,0,0,0,1,1,0.5396825396825397,0.19194351082014047,0.4583678656279352,1
63,2023-wimbledon-1301,0,0,0,0,0,0,0.53125,-0.9176823733907137,0.6578733766233766,0
64,2023-wimbledon-1301,0,0,0,0,0,0,0.5230769230769231,-0.971418180354368,0.5090909090909091,0
65,2023-wimbledon-1301,0,0,0,0,0,0,0.5151515151515151,-0.7695939012343256,0.4866209493075165,0
66,2023-wimbledon-1301,0,0,0,0,0,0,0.5074626865671642,-0.3463039790695945,0.5904689576609076,0
67,2023-wimbledon-1301,1,1,0,0,0,1,0.5147058823529411,-0.9765323468102193,0.44896851248642783,1
