,p1_current_per,p2_current_per,p1_overall_per,p2_overall_per
0,0.005056371804008158,1.6281413731816987,1.4281413731816988,1.6281413731816987
1,0.491348060421616,0.5992989816445531,1.1041790514032748,1.063225205315706
2,0.1960065138025664,0.8036871548779687,0.7378938411236722,0.9796379706587375
3,0.6322643331466213,0.5470531693305468,0.7812335931553906,0.8673252202933349
4,0.6760190323978835,0.5240069750646322,0.80728304000004,0.779694267165062
5,0.6673199273444272,0.7213571294387462,0.7692735509007164,0.7838308833820753
6,0.8674152811589559,0.47103991331744505,0.7895971737283471,0.7260600887322394
7,0.6256893996585887,0.8614302742493554,0.7641854248719956,0.785345269821672
8,0.833100606210206,0.6414739320690606,0.7683270137816571,0.7586007884999592
9,0.7977166467595955,0.7055101896495668,0.7720330156377215,0.7398951190074375
10,0.5372146908364785,0.809212056720098,0.7386479519532181,0.7554907571576064
11,0.6888488459863567,0.6292473812288072,0.7317908051661652,0.742929103348838
12,0.6913238650569058,0.4405673755842458,0.7380232116575333,0.6862041012943934
13,0.5335386209795147,0.6404967201354017,0.7232673810302817,0.7022777492242769
14,0.5708699856724561,0.6315699141931234,0.7129399746007568,0.7073239321843617
15,0.7696223689104733,0.6223545808750418,0.7189480536424595,0.699232316215765
16,0.603926823224992,0.7722561491557125,0.713971988476407,0.702862172741589
17,0.6143618964935772,0.816646234339246,0.7076214060273379,0.7144332047657312
18,0.8484583540557302,0.5840295603505498,0.7183444168656075,0.7020950389738888
19,0.8538429713168472,0.5054563880635008,0.7249526359024729,0.6832513050398757
20,0.6507576231481957,0.6445984877231565,0.7185456275207937,0.685409197569173
21,0.8047369322096813,0.28585767714104465,0.7210343053216175,0.6544263078148647
22,0.7848145091105392,0.35590079490285387,0.7240650541470033,0.6492490645872206
23,0.38937759409377326,0.555426314648403,0.6940662900090828,0.6524946705374101
24,0.3859297570797863,0.7394421820952701,0.6888217595325976,0.6566282127285132
25,0.36737425854056804,0.7981092603450575,0.6829084238847222,0.6664252410208172
26,0.4987385637641775,0.8595450687464026,0.6723632093152044,0.6755002703384092
27,0.7482144009143838,0.6118346982617162,0.6808995425377891,0.6661146218927849
28,0.7636079157230478,0.5421341758146544,0.6843600954542043,0.6604640963443176
29,0.8233397968890253,0.4836984208717762,0.6874608680725867,0.6563200853917459
30,0.3894407579128585,0.7234334688831363,0.6655970795095701,0.658758381278948
31,0.3875598501744717,0.7490882210386878,0.6627850724592295,0.6625226080344148
32,0.19833869245672853,0.7557507771104461,0.6429952157438723,0.6653592391843549
33,0.5945276721520845,0.5799379200054737,0.6475615435662626,0.6635683405783472
34,0.598351143279757,0.5786150953740372,0.6515478785295604,0.6610448212349539
35,0.5263356674539535,0.8016500076570701,0.6443846978308235,0.6656056921126366
36,0.71940854944857,0.402230284877062,0.6479815710702335,0.6477841738998646
37,0.5127240597554444,0.5977121096476364,0.6458512612579197,0.6507817124254288
38,0.5681487332307582,0.5806906242405132,0.6436485979897929,0.653945558686576
39,0.563999974133204,0.7754805847383157,0.6416829512999562,0.6573614047127485
40,0.8119649850350903,0.5949051028952944,0.6482498264123467,0.6564492775817604
