,p1_win_factor,p2_win_factor,p1_mark,p2_mark
0,0.0,0.0,20.952380952380953,20.952380952380953
1,-0.13999999999999999,0.13999999999999999,20.952380952380953,30.952380952380953
2,0.0,0.0,30.952380952380953,30.952380952380953
3,-0.13999999999999999,0.13999999999999999,30.952380952380953,40.95238095238095
4,0.0,0.0,40.95238095238095,40.95238095238095
5,0.13999999999999999,-0.13999999999999999,50.95238095238095,40.95238095238095
6,0.0,0.0,50.95238095238095,50.95238095238095
7,0.13999999999999999,-0.13999999999999999,60.95238095238095,50.95238095238095
8,0.0,-0.27999999999999997,50.95238095238095,50.95238095238095
9,0.13999999999999999,-0.41999999999999993,60.95238095238095,50.95238095238095
10,0.06,-0.6199999999999999,25.238095238095237,20.952380952380953
11,-0.07999999999999999,0.06,25.238095238095237,30.952380952380953
12,0.06,-0.07999999999999999,35.238095238095234,30.952380952380953
13,0.19999999999999998,-0.21999999999999997,45.238095238095234,30.952380952380953
14,0.06,0.06,45.238095238095234,40.95238095238095
15,-0.07999999999999999,0.19999999999999998,45.238095238095234,50.95238095238095
16,0.06,0.06,55.238095238095234,50.95238095238095
17,-0.07999999999999999,0.19999999999999998,55.238095238095234,60.95238095238095
18,-0.27999999999999997,0.12,25.238095238095237,25.238095238095237
19,0.0,-0.13999999999999999,35.238095238095234,25.238095238095237
20,0.13999999999999999,-0.27999999999999997,45.238095238095234,25.238095238095237
21,0.0,0.0,45.238095238095234,35.238095238095234
22,0.13999999999999999,-0.13999999999999999,55.238095238095234,35.238095238095234
23,0.06,-0.33999999999999997,29.523809523809526,25.238095238095237
24,-0.07999999999999999,0.06,29.523809523809526,35.238095238095234
25,-0.21999999999999997,0.19999999999999998,29.523809523809526,45.238095238095234
26,-0.35999999999999993,0.33999999999999997,25.095238095238095,63.52380952380951
27,-0.5599999999999999,0.12,29.523809523809526,29.523809523809526
28,0.0,-0.13999999999999999,39.523809523809526,29.523809523809526
29,0.13999999999999999,-0.27999999999999997,49.523809523809526,29.523809523809526
30,0.27999999999999997,-0.41999999999999993,68.45238095238095,25.095238095238095
31,0.0,0.0,59.523809523809526,39.523809523809526
32,-0.13999999999999999,0.13999999999999999,59.523809523809526,49.523809523809526
33,-0.27999999999999997,0.27999999999999997,59.523809523809526,59.523809523809526
34,0.0,0.0,69.52380952380953,59.523809523809526
