,match_id,p1_ace,p1_winner,p1_double_fault,p1_unf_err,p1_net_pt,p1_server,p1_serve_no,p1_net_pt_won,p1_break_pt,p1_break_pt_won,p1_break_pt_missed,p1_distance_run,serve_depth,return_depth,speed_mph,p1_victor
0,2023-wimbledon-1301,0,0,0,1,0,1,0,0,0,0,0,6.0,0.0,0.0,95.0,0
1,2023-wimbledon-1301,0,0,0,0,0,1,1,0,0,0,0,5.253,1.0,0.0,118.0,1
2,2023-wimbledon-1301,0,0,0,1,0,1,1,0,0,0,0,13.8,0.0,1.0,120.0,0
3,2023-wimbledon-1301,0,1,0,0,0,1,1,0,0,0,0,51.108,1.0,1.0,130.0,1
4,2023-wimbledon-1301,1,1,0,0,0,1,1,0,0,0,0,0.649,0.0,,112.0,1
5,2023-wimbledon-1301,0,0,0,0,0,1,0,0,0,0,0,5.291,0.0,0.0,97.0,0
6,2023-wimbledon-1301,1,1,0,0,0,1,1,0,0,0,0,6.817,1.0,1.0,109.0,1
7,2023-wimbledon-1301,0,0,0,0,0,1,0,0,0,0,0,17.503,0.0,0.0,105.0,0
8,2023-wimbledon-1301,0,0,0,0,1,1,1,1,0,0,0,34.489,1.0,1.0,128.0,1
9,2023-wimbledon-1301,0,0,0,0,0,1,1,0,0,0,0,21.235,0.0,0.0,110.0,1
10,2023-wimbledon-1301,0,0,0,0,0,0,1,0,0,0,0,5.785,1.0,1.0,112.0,0
11,2023-wimbledon-1301,0,0,0,0,0,0,1,0,0,0,0,19.744,0.0,1.0,130.0,1
12,2023-wimbledon-1301,0,0,0,0,0,0,1,0,0,0,0,26.013,0.0,1.0,120.0,1
13,2023-wimbledon-1301,0,0,0,0,0,0,1,0,0,0,0,10.667,0.0,0.0,128.0,0
14,2023-wimbledon-1301,0,0,0,0,0,0,1,0,0,0,0,3.399,0.0,0.0,130.0,0
15,2023-wimbledon-1301,0,0,0,0,0,0,0,0,0,0,0,5.3,0.0,1.0,97.0,1
