,p1_current,p2_current,p1_overall,p2_overall
0,0.018301607716686857,1.0474914734391378,0.018301607716686857,1.0474914734391378
1,0.31773536090508414,0.5136021158529344,0.3223990693505626,0.7805292026350754
2,0.2153366260009391,0.5364624616531957,0.21844576496459142,0.7144138528412897
3,0.4494467292009555,0.3755162239190857,0.34166044882988833,0.5435100362990988
4,0.4777163594055836,0.3753187286297429,0.4155894433835752,0.5374029182318759
5,0.6683292381359466,0.35235719992122777,0.44338750155026896,0.5333855263812587
6,0.6683645991779705,0.5360910320324233,0.4816765132647807,0.5403304630419521
7,0.6272898042148725,0.6993623716756385,0.49497707869531166,0.5981377132732868
8,0.669663325202487,0.7224708569946393,0.5188127761010083,0.5964139699190522
9,0.6296566364583112,0.7002990693832293,0.5260705502228399,0.5883210449443352
10,0.6272598664325707,0.6031746383279641,0.531054202623655,0.5995114201063807
11,0.5848195003151745,0.6100611030588504,0.5353144571545497,0.5998257532040018
12,0.5819408991210225,0.4417527306370823,0.5389637076608819,0.5544975877965077
13,0.5596119764668972,0.44165778521956883,0.5371737255900639,0.5656856412020639
14,0.5366256863527431,0.4414613751335327,0.5355767029941884,0.5681528775899081
15,0.535989451375693,0.6320536091673591,0.538406034607409,0.5690393418035424
16,0.5358189715100045,0.5947779256069728,0.5369346513406417,0.5708195737441067
17,0.5361898285102309,0.631095930443755,0.5356788905801955,0.5786433863988825
18,0.5797198084949767,0.6079834862156832,0.5449292620633407,0.5751884172370382
19,0.6189299622321625,0.6027356306068906,0.5492339479743698,0.5756069822735241
20,0.6452605834691886,0.5593044658790581,0.5513334181357659,0.5758806834674789
21,0.6089259390387431,0.3893529670546506,0.5536560816508956,0.5498472194848943
22,0.5939965396068236,0.3884231638968949,0.5550725468829508,0.5511917016157029
23,0.3972617823694311,0.391038150784015,0.5320744636649741,0.5527753668820459
24,0.3678863056508249,0.5872319390972625,0.5313637085308871,0.5543333858383784
25,0.3434690236090572,0.6307531490732214,0.530656755735963,0.560371868630032
26,0.5140251072081147,0.6713944438034386,0.530068979614212,0.5659552643177561
27,0.579678328299857,0.6460416921561669,0.5365402749347054,0.5641592758009986
28,0.6094141826476707,0.5801565214498822,0.5388040757613122,0.562418556852775
29,0.6738634052283279,0.5144750119462644,0.5444484221756236,0.5608072390806069
30,0.44012547267394064,0.5137707378587162,0.5272098101997927,0.559282965677552
31,0.4350864713409853,0.5363885484601628,0.5290805503469066,0.5599782435659676
32,0.2037872326427341,0.5588328562251789,0.5134792231271791,0.5606277497301134
33,0.43677713082850045,0.5818868274609997,0.5192304561376199,0.561277424070209
34,0.4771579665929839,0.5817895540319914,0.524630043167999,0.5618477844630553
35,0.6436238411418108,0.5955447402343984,0.5243246079617317,0.5635374989388038
36,0.5791641039594756,0.4042319627096369,0.5240899410961488,0.5485440082842167
37,0.536754000036914,0.4104462815474342,0.5255871976576502,0.5498950342328747
38,0.5365926662257537,0.4032079024201898,0.5252683047512721,0.5512044530527566
39,0.5358365097885747,0.5974001044848803,0.5249709337480808,0.5522082154992664
40,0.5791948049421181,0.4050334953926971,0.5295097055077332,0.5392954094396908
