,p1_current,p2_current,mark_1,mark_2,p1_win_factor,p2_win_factor
0,0.5133983805304014,0.5133983805304014,0.25218226380338993,0.25218226380338993,0.6802018878612167,0.6802018878612167
1,0.2503983340846591,0.7971136377377027,0.14176554354045398,0.13408560845657067,0.7036853586159285,0.7184545412496216
2,0.1951608520326557,0.7719817917308698,0.06806807043523792,0.0854030356513411,0.6972149302188306,0.7688742108025776
3,0.202651698195205,0.6666274082890125,0.07131563638901475,0.08646698011927574,0.7039841237939515,0.7735642312814509
4,0.29350965253218153,0.5394163293719418,0.08912233463751743,0.12122227408287246,0.6934454857807382,0.7869389828684863
5,0.3753772915050021,0.45583641180090195,0.12453074674547289,0.14892132079652493,0.701724070623549,0.7777072647603911
6,0.4927996137821378,0.40148872441772443,0.17401251410129892,0.1661120217921156,0.7290617672950008,0.7469836734686931
7,0.5781993147128355,0.43385730957153934,0.21058784991923457,0.19982545024927983,0.7338350784774879,0.7416189825931899
8,0.6158564974090724,0.529025024573275,0.2553221230675759,0.22540085443332247,0.7511774881360632,0.7221279558116808
9,0.6429537063404147,0.61662304670265,0.2633288604899051,0.24166697263809542,0.7456939751871593,0.6870838954811377
10,0.6354901849493644,0.6559053859424195,0.2833804010924533,0.2500529336984785,0.7533208229589593,0.6398255586711366
11,0.6311181626073921,0.6278943185446151,0.17192640404369097,0.1330873984623951,0.7505110829329836,0.5537964915029007
12,0.6111490801156426,0.6119651029302859,0.09753660211504975,0.08515979006600886,0.7264912907280754,0.6172610621485889
13,0.5959830813837914,0.548978433974048,0.10058684134784225,0.08643891357346392,0.7282585859300736,0.6732500501585087
14,0.5805948072625591,0.49902835194467693,0.14150871437261148,0.09578149974658237,0.7544781611569878,0.6802454117574279
15,0.5625581105023774,0.4680241750627281,0.17423688765448844,0.12642715189086867,0.7583993787473601,0.7146245820933566
16,0.549544845401583,0.5150363448392601,0.19439570395777,0.17585508107237274,0.7383674005565849,0.763034965158052
17,0.5417416025060967,0.5515593754519648,0.227164249258975,0.21375363997201635,0.7369910949238011,0.7796541975871951
18,0.5377555208385443,0.5859820841537524,0.2511754606016078,0.2620630968047768,0.7200406745202563,0.7976686422622493
19,0.5600473437885939,0.5976694351564148,0.1568290298105266,0.1557971171998505,0.6638028947775925,0.8017276620888074
20,0.590679189240232,0.6033617439833621,0.12127374485739556,0.08487004967525626,0.6705559446007965,0.7582162887379387
21,0.6165760263675913,0.5885034116876202,0.148981407449078,0.06465450297243326,0.7140219100783842,0.7008890672568938
22,0.6189924999739462,0.5173061237116194,0.1781853207487237,0.08757821210835522,0.7282911852220696,0.7058863269822961
23,0.6065817245346733,0.4598793753299162,0.21935718298951534,0.11928086069244892,0.7467498544759208,0.7011854253759611
24,0.4953890092224441,0.42331027157660595,0.15744838568451142,0.08886214326165603,0.7474306745002788,0.6483749725486323
25,0.4093716100695728,0.47772574809963586,0.11612745246446071,0.09870007764138913,0.7257406513268996,0.6842352694509343
26,0.37032729097894024,0.5477719465574638,0.10435021022863145,0.14310656700028884,0.6889933118968877,0.7517175859485177
27,0.4183100514316007,0.6012813531944501,0.10471361144958291,0.2238746633989206,0.6455414198942742,0.8094368021300479
28,0.5040303926691899,0.6250584648063007,0.1037045539436359,0.15497420442261503,0.5703198289180336,0.8072444651274706
29,0.5731910807495523,0.6144582164950357,0.13044715776144766,0.10898669718411393,0.608691033556902,0.7595606331064907
30,0.621730293738527,0.5749732726919707,0.1759108890006823,0.09587939368529147,0.6831206552717654,0.7010441825193365
31,0.5685871702391094,0.5450053965850398,0.2511247095122026,0.082982162407442,0.7521180297708255,0.6428755604446393
32,0.5123688093531058,0.5351110599885345,0.2867793591302408,0.10927525086372514,0.7585208105497934,0.6663846129882488
33,0.39516742268471505,0.5404958584601927,0.3032398088623225,0.15950319108840635,0.7311768966591439,0.7195906371050874
34,0.38209652434329383,0.5557305474625366,0.30828582162169066,0.22467666400405617,0.6851364776530545,0.7852295006294117
